_id;ingresoId;tupaId;cantidad;importe;igv;detalle;createdAt;updatedAt;__v
2473;39977;0001;1;15;0;;;;
2474;39977;0014;1;10;0;;;;
2475;39978;0001;1;15;0;;;;
2476;39978;0014;1;10;0;;;;
2477;39979;0001;1;15;0;;;;
2478;39979;0014;1;10;0;;;;
2479;39980;0001;1;15;0;;;;
2480;39980;0014;1;10;0;;;;
2481;39981;0014;1;10;0;;;;
2482;39981;0001;1;15;0;;;;
2483;39982;0040;1;15;0;;;;
2484;39983;0003;4;15;0;;;;
2485;39984;0001;1;15;0;;;;
2486;39984;0014;1;10;0;;;;
2487;39985;0001;1;15;0;;;;
2488;39985;0014;1;10;0;;;;
2489;39986;0001;1;15;0;;;;
2490;39986;0014;1;10;0;;;;
2491;39987;0001;1;15;0;;;;
2492;39987;0014;1;10;0;;;;
2493;39988;0001;1;15;0;;;;
2494;39988;0014;1;10;0;;;;
2495;39989;0003;4;15;0;;;;
2496;39989;0035;1;9;0;;;;
2497;39990;0001;1;15;0;;;;
2498;39990;0014;1;10;0;;;;
2499;39991;0001;1;15;0;;;;
2500;39991;0014;1;10;0;;;;
2501;39992;0001;1;15;0;;;;
2502;39992;0014;1;10;0;;;;
2503;39993;0009;7;0.2;0;;;;
2504;39994;0001;1;15;0;;;;
2505;39994;0014;1;10;0;;;;
2506;39995;0001;1;15;0;;;;
2507;39995;0014;1;10;0;;;;
2508;39996;0001;1;15;0;;;;
2509;39996;0014;1;10;0;;;;
2510;39997;0003;2;15;0;;;;
2511;39997;0035;1;9;0;;;;
2512;39998;0003;2;15;0;;;;
2513;39998;0035;1;9;0;;;;
2514;39999;0009;3;0.2;0;;;;
2515;40000;0003;4;15;0;;;;
2516;40000;0035;1;9;0;;;;
2517;40001;0001;1;15;0;;;;
2518;40001;0014;1;10;0;;;;
2519;40002;0001;1;15;0;;;;
2520;40002;0014;1;10;0;;;;
2521;40003;0003;3;15;0;;;;
2522;40003;0035;1;9;0;;;;
2523;40004;0001;1;15;0;;;;
2524;40004;0014;1;10;0;;;;
2525;40005;0001;1;15;0;;;;
2526;40005;0014;1;10;0;;;;
2527;40006;0001;1;15;0;;;;
2528;40006;0014;1;10;0;;;;
2529;40007;0003;2;15;0;;;;
2530;40007;0035;1;9;0;;;;
2531;40008;0001;1;15;0;;;;
2532;40008;0014;1;10;0;;;;
2533;40009;0001;1;15;0;;;;
2534;40009;0014;1;10;0;;;;
2535;40010;0003;3;15;0;;;;
2536;40010;0035;1;9;0;;;;
2537;40011;0001;1;15;0;;;;
2538;40011;0014;1;10;0;;;;
2539;40012;0001;1;15;0;;;;
2540;40012;0014;1;10;0;;;;
2541;40013;0003;3;15;0;;;;
2542;40013;0035;1;9;0;;;;
2543;40015;0001;1;15;0;;;;
2544;40015;0008;1;10;0;SOLICITANTE. MEZA  INGA  FELIX -SEIS CAHUIDE;;;
2545;40016;0001;1;15;0;;;;
2546;40016;0008;1;10;0;SOLICITANTYE .MACHA SERVA ANTONIO HUGO -SEIS CAHUI;;;
2547;40017;0001;1;15;0;;;;
2548;40017;0014;1;10;0;;;;
